age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pdays_was_999,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
40,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,0
41,3,999,0,1.1,93.994,-36.4,4.857,5191.0,1,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,0
47,6,999,0,1.1,93.994,-36.4,4.858,5191.0,1,services,married,unknown,unknown,yes,yes,telephone,may,mon,nonexistent,0
35,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,management,married,university.degree,no,no,no,cellular,nov,mon,nonexistent,0
32,3,999,0,1.4,93.444,-36.1,4.965,5228.1,1,technician,single,high.school,no,yes,no,cellular,aug,mon,nonexistent,1
55,2,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,thu,nonexistent,0
32,4,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,blue-collar,married,basic.6y,no,no,no,cellular,nov,thu,nonexistent,0
31,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,nonexistent,0
38,1,999,2,-3.0,92.713,-33.0,0.721,5023.5,1,technician,married,university.degree,no,no,no,cellular,dec,wed,failure,1
35,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,retired,single,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,0
27,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,self-employed,single,university.degree,no,no,no,cellular,may,thu,nonexistent,0
51,3,999,0,1.4,93.444,-36.1,4.964,5228.1,1,services,married,unknown,no,no,no,cellular,aug,fri,nonexistent,0
54,2,999,0,-3.4,92.431,-26.9,0.722,5017.5,1,retired,married,basic.4y,no,no,yes,cellular,oct,thu,nonexistent,1
38,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1,self-employed,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,1
43,7,999,0,1.4,93.918,-42.7,4.961,5228.1,1,services,divorced,unknown,unknown,yes,yes,cellular,jul,tue,nonexistent,0
53,3,999,0,1.4,94.465,-41.8,4.967,5228.1,1,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,nonexistent,0
36,1,999,0,1.1,93.994,-36.4,4.856,5191.0,1,admin.,married,high.school,no,yes,yes,telephone,may,tue,nonexistent,0
25,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,admin.,married,high.school,no,no,yes,cellular,jul,mon,nonexistent,0
31,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,admin.,married,high.school,no,yes,no,cellular,apr,fri,nonexistent,0
35,2,999,1,-0.1,93.2,-42.0,4.191,5195.8,1,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,failure,0
54,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,services,single,basic.9y,no,no,yes,cellular,jul,thu,nonexistent,0
34,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,services,single,basic.9y,no,yes,yes,cellular,nov,wed,nonexistent,0
28,2,6,3,-1.1,94.199,-37.5,0.882,4963.6,0,admin.,single,university.degree,no,yes,no,cellular,sep,mon,success,0
33,5,999,0,1.4,93.918,-42.7,4.961,5228.1,1,admin.,married,high.school,unknown,no,no,cellular,jul,tue,nonexistent,0
40,2,999,0,1.4,94.465,-41.8,4.967,5228.1,1,blue-collar,married,basic.9y,no,no,yes,telephone,jun,fri,nonexistent,0
42,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,technician,single,basic.9y,no,yes,no,telephone,may,wed,nonexistent,0
31,4,999,0,-3.4,92.379,-29.8,0.773,5017.5,1,technician,married,professional.course,no,yes,no,cellular,sep,fri,nonexistent,0
30,3,999,0,1.4,93.918,-42.7,4.963,5228.1,1,admin.,single,high.school,no,no,no,cellular,jul,wed,nonexistent,0
29,2,999,0,1.4,93.444,-36.1,4.966,5228.1,1,admin.,single,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,0
45,4,999,0,1.4,93.444,-36.1,4.964,5228.1,1,technician,married,professional.course,unknown,no,no,cellular,aug,fri,nonexistent,0
35,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,1,services,married,high.school,unknown,yes,no,cellular,may,tue,nonexistent,0
43,1,999,0,1.1,93.994,-36.4,4.858,5191.0,1,admin.,married,university.degree,no,no,no,telephone,may,wed,nonexistent,0
28,4,999,0,-2.9,92.963,-40.8,1.26,5076.2,1,student,single,high.school,no,yes,no,cellular,jun,wed,nonexistent,1
38,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
31,3,999,0,1.4,93.444,-36.1,4.967,5228.1,1,technician,single,professional.course,no,yes,no,telephone,aug,wed,nonexistent,0
32,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,admin.,divorced,high.school,no,yes,no,telephone,may,fri,nonexistent,0
32,3,999,0,-0.1,93.2,-42.0,4.153,5195.8,1,entrepreneur,married,university.degree,no,no,no,cellular,nov,tue,nonexistent,0
28,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,1,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,nonexistent,0
57,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,nonexistent,0
49,3,999,0,1.1,93.994,-36.4,4.859,5191.0,1,management,married,university.degree,no,no,no,telephone,may,wed,nonexistent,0
57,1,999,0,1.4,94.465,-41.8,4.864,5228.1,1,admin.,divorced,unknown,unknown,no,no,telephone,jun,tue,nonexistent,0
35,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,management,single,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
40,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,entrepreneur,married,basic.9y,no,no,no,cellular,apr,fri,nonexistent,0
44,2,999,1,-1.8,93.075,-47.1,1.41,5099.1,1,blue-collar,married,basic.6y,no,yes,no,telephone,apr,thu,failure,0
61,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1,unknown,single,basic.4y,no,yes,no,cellular,may,tue,nonexistent,0
43,2,999,0,1.1,93.994,-36.4,4.856,5191.0,1,technician,married,professional.course,no,no,no,telephone,may,wed,nonexistent,0
36,1,999,0,1.1,93.994,-36.4,4.856,5191.0,1,admin.,married,high.school,no,no,no,telephone,may,tue,nonexistent,0
41,4,999,0,1.1,93.994,-36.4,4.857,5191.0,1,management,married,university.degree,no,no,yes,telephone,may,fri,nonexistent,0
34,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,nonexistent,0
55,1,999,0,-1.8,92.893,-46.2,1.354,5099.1,1,technician,married,basic.9y,unknown,no,no,cellular,may,mon,nonexistent,0
44,3,999,0,1.4,94.465,-41.8,4.958,5228.1,1,management,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,0
29,1,6,1,-1.7,94.215,-40.3,0.81,4991.6,0,admin.,single,high.school,no,yes,no,cellular,jul,thu,success,1
41,8,999,0,1.1,93.994,-36.4,4.856,5191.0,1,technician,single,university.degree,unknown,no,no,telephone,may,wed,nonexistent,0
35,1,999,0,1.4,93.444,-36.1,4.968,5228.1,1,admin.,married,university.degree,no,yes,no,cellular,aug,tue,nonexistent,0
36,2,999,0,1.4,94.465,-41.8,4.958,5228.1,1,technician,married,professional.course,no,no,yes,telephone,jun,thu,nonexistent,0
27,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,unemployed,married,basic.6y,unknown,no,no,cellular,jul,wed,nonexistent,0
45,3,999,0,1.4,93.444,-36.1,4.967,5228.1,1,admin.,divorced,high.school,no,yes,yes,cellular,aug,wed,nonexistent,0
34,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,services,single,high.school,no,no,no,cellular,apr,fri,failure,0
36,2,999,0,1.4,94.465,-41.8,4.967,5228.1,1,services,married,high.school,no,no,no,telephone,jun,fri,nonexistent,0
31,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,admin.,single,university.degree,no,yes,no,cellular,nov,thu,nonexistent,0
37,22,999,0,1.4,93.918,-42.7,4.963,5228.1,1,admin.,married,university.degree,no,yes,no,cellular,jul,wed,nonexistent,0
45,12,999,0,1.4,94.465,-41.8,4.959,5228.1,1,admin.,divorced,university.degree,unknown,unknown,unknown,telephone,jun,fri,nonexistent,0
31,3,999,0,1.4,93.918,-42.7,4.96,5228.1,1,services,married,high.school,unknown,no,no,cellular,jul,mon,nonexistent,0
39,3,999,0,1.4,93.444,-36.1,4.966,5228.1,1,management,married,high.school,no,no,no,cellular,aug,fri,nonexistent,0
44,1,999,0,1.4,94.465,-41.8,4.961,5228.1,1,blue-collar,married,unknown,no,no,no,telephone,jun,thu,nonexistent,0
29,1,999,0,1.4,93.918,-42.7,4.957,5228.1,1,admin.,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,0
33,3,999,0,1.1,93.994,-36.4,4.855,5191.0,1,services,married,high.school,unknown,no,no,telephone,may,fri,nonexistent,1
38,4,999,0,1.1,93.994,-36.4,4.857,5191.0,1,technician,married,professional.course,no,yes,yes,telephone,may,fri,nonexistent,0
32,3,999,0,1.1,93.994,-36.4,4.858,5191.0,1,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,0
48,1,999,2,-1.8,93.075,-47.1,1.365,5099.1,1,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,failure,0
43,12,999,0,1.1,93.994,-36.4,4.864,5191.0,1,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,nonexistent,1
30,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,1,admin.,single,university.degree,no,no,no,cellular,apr,thu,nonexistent,1
47,1,999,0,1.4,93.918,-42.7,4.96,5228.1,1,services,divorced,basic.9y,unknown,no,no,cellular,jul,mon,nonexistent,0
24,2,999,0,-1.8,92.893,-46.2,1.27,5099.1,1,admin.,single,university.degree,no,yes,no,cellular,may,wed,nonexistent,0
52,2,999,0,1.4,93.444,-36.1,4.965,5228.1,1,services,married,high.school,unknown,no,no,cellular,aug,mon,nonexistent,0
48,2,999,0,1.1,93.994,-36.4,4.864,5191.0,1,entrepreneur,married,unknown,unknown,no,no,telephone,may,fri,nonexistent,0
32,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,1,admin.,single,university.degree,no,yes,yes,cellular,nov,fri,nonexistent,0
47,7,999,0,1.4,94.465,-41.8,4.959,5228.1,1,services,married,high.school,unknown,yes,no,telephone,jun,fri,nonexistent,0
30,4,999,0,1.1,93.994,-36.4,4.86,5191.0,1,services,married,high.school,no,no,no,telephone,may,thu,nonexistent,0
30,2,999,0,-1.8,92.893,-46.2,1.344,5099.1,1,admin.,single,university.degree,no,yes,no,cellular,may,tue,nonexistent,0
89,1,999,0,-1.7,94.055,-39.8,0.72,4991.6,1,retired,divorced,basic.4y,no,no,no,cellular,jun,mon,nonexistent,1
30,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,admin.,divorced,university.degree,unknown,no,no,telephone,may,thu,nonexistent,0
41,11,999,0,1.4,93.918,-42.7,4.962,5228.1,1,services,married,high.school,unknown,no,yes,telephone,jul,mon,nonexistent,0
45,7,999,0,1.1,93.994,-36.4,4.86,5191.0,1,technician,divorced,professional.course,no,no,no,telephone,may,thu,nonexistent,0
50,3,999,1,-1.8,92.893,-46.2,1.291,5099.1,1,technician,married,basic.6y,unknown,no,no,cellular,may,tue,failure,0
37,2,999,0,1.4,93.444,-36.1,4.964,5228.1,1,admin.,married,university.degree,unknown,no,no,cellular,aug,wed,nonexistent,0
38,3,999,0,1.4,93.444,-36.1,4.963,5228.1,1,admin.,married,university.degree,no,no,no,cellular,aug,thu,nonexistent,0
42,3,999,0,1.1,93.994,-36.4,4.86,5191.0,1,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,nonexistent,0
34,3,999,0,1.4,93.918,-42.7,4.961,5228.1,1,technician,divorced,professional.course,no,no,no,cellular,jul,tue,nonexistent,0
40,1,999,0,1.4,93.444,-36.1,4.963,5228.1,1,admin.,married,high.school,no,yes,no,cellular,aug,tue,nonexistent,0
40,5,999,0,1.1,93.994,-36.4,4.857,5191.0,1,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,nonexistent,0
28,1,999,0,-3.4,92.431,-26.9,0.752,5017.5,1,unemployed,single,basic.4y,no,yes,yes,cellular,oct,fri,nonexistent,0
26,7,999,0,1.1,93.994,-36.4,4.86,5191.0,1,unemployed,single,professional.course,no,no,no,telephone,may,thu,nonexistent,0
34,2,999,0,-1.8,92.893,-46.2,1.344,5099.1,1,admin.,married,high.school,no,no,no,cellular,may,tue,nonexistent,0
38,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,technician,married,university.degree,no,yes,yes,cellular,aug,tue,nonexistent,0
38,5,999,0,1.4,94.465,-41.8,4.959,5228.1,1,blue-collar,married,unknown,no,yes,no,telephone,jun,fri,nonexistent,0
42,2,999,0,1.1,93.994,-36.4,4.856,5191.0,1,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,nonexistent,0
35,1,999,2,-1.8,93.876,-40.0,0.699,5008.7,1,unemployed,married,high.school,no,yes,no,telephone,may,fri,failure,0
30,2,999,0,1.4,93.444,-36.1,4.966,5228.1,1,technician,single,university.degree,no,yes,yes,cellular,aug,tue,nonexistent,0
51,2,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,divorced,university.degree,no,yes,no,cellular,jul,mon,nonexistent,0
43,1,999,0,-1.8,93.075,-47.1,1.466,5099.1,1,services,married,professional.course,no,no,no,cellular,apr,mon,nonexistent,0
41,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,nonexistent,1
46,1,999,0,1.4,93.918,-42.7,4.961,5228.1,1,blue-collar,married,unknown,no,yes,no,cellular,jul,tue,nonexistent,0
32,4,999,0,1.4,93.444,-36.1,4.965,5228.1,1,technician,single,professional.course,no,yes,no,cellular,aug,tue,nonexistent,0
51,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,entrepreneur,married,university.degree,no,no,no,telephone,nov,mon,nonexistent,0
39,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,nonexistent,0
46,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,0
54,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,technician,married,professional.course,unknown,no,yes,cellular,jul,thu,nonexistent,0
37,2,999,0,1.4,93.444,-36.1,4.964,5228.1,1,management,married,high.school,no,no,no,cellular,aug,fri,nonexistent,0
57,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,management,married,university.degree,no,yes,no,telephone,nov,mon,nonexistent,0
28,2,999,0,-1.8,92.893,-46.2,1.259,5099.1,1,admin.,single,university.degree,no,yes,no,cellular,may,fri,nonexistent,0
33,2,999,1,-1.8,93.075,-47.1,1.372,5099.1,1,admin.,single,high.school,no,yes,no,cellular,apr,wed,failure,1
